study_hours,sleep_hours,exercise,screen_time,consistency,procrastination,goal_clarity,target
5.16,5.28,0,6.57,9,10,6,Average
7.87,6.5,0,6.76,2,2,6,High
3.23,6.69,0,0.76,5,8,7,Average
5.88,6.27,1,1.47,1,8,1,Negative
5.72,4.95,0,4.8,8,2,1,High
5.93,7.55,0,9.65,6,5,5,Average
3.84,8.87,0,3.67,1,2,8,Average
4.43,7.38,0,1.37,8,7,8,High
0.0,7.22,1,7.78,7,6,5,Average
0.0,6.74,1,1.96,3,9,6,Negative
6.43,8.19,1,4.16,2,9,6,Average
2.44,8.69,0,3.1,6,5,9,High
4.19,8.27,0,6.7,8,3,3,Average
3.15,7.95,1,0.5,3,4,4,Average
5.54,9.9,1,1.28,2,1,8,High
1.86,7.73,0,5.42,6,3,1,Average
4.97,6.86,1,8.22,9,10,8,Average
3.38,8.56,1,3.44,1,3,2,Average
2.06,7.43,0,1.17,8,2,1,High
4.26,5.78,0,5.48,8,2,9,High
5.86,3.55,1,8.43,7,2,10,High
4.83,8.28,0,6.82,1,10,2,Negative
4.01,5.29,1,5.35,1,8,1,Negative
4.97,7.13,0,2.72,1,5,5,Average
5.11,7.6,1,10.65,7,6,5,Average
0.83,9.1,1,3.87,2,8,10,Average
4.04,5.78,0,6.25,3,10,7,Negative
3.31,5.82,1,7.23,9,6,3,Average
1.64,5.81,1,0.5,3,3,7,Average
3.12,6.43,0,3.48,8,5,9,High
3.5,6.67,1,5.64,10,10,5,Average
3.24,8.36,0,5.01,3,2,7,Average
4.99,7.47,1,5.92,2,4,8,High
6.82,4.18,1,8.11,7,5,6,High
3.86,7.12,0,2.31,1,9,7,Negative
3.89,7.46,0,2.27,6,2,5,High
1.29,6.79,1,1.46,9,10,4,Average
3.02,6.46,1,9.96,7,1,8,High
3.88,7.38,0,8.4,9,2,6,High
2.51,5.53,0,4.14,6,8,8,Average
4.63,6.79,0,3.96,7,1,8,High
4.32,6.06,1,3.25,3,5,2,Average
5.26,5.5,1,2.8,1,7,8,Average
3.35,8.44,1,7.89,3,9,7,Negative
5.49,9.05,0,6.31,1,3,2,Negative
9.3,7.4,0,1.96,8,1,6,High
3.6,8.65,0,2.22,10,3,4,High
1.3,7.14,0,3.77,1,1,10,Average
3.67,3.78,1,2.57,7,2,7,High
4.4,4.96,0,5.76,9,3,5,High
6.51,7.8,1,5.78,2,5,10,High
6.3,6.58,1,4.56,2,9,1,Negative
7.95,6.87,1,5.75,3,3,8,High
0.0,4.94,1,5.82,3,6,6,Negative
0.1,5.57,1,6.88,8,5,8,Average
6.06,7.07,1,6.47,9,2,10,High
3.43,8.03,1,5.64,2,9,1,Negative
0.42,8.46,1,2.13,9,1,6,High
0.63,5.38,0,4.83,4,8,9,Negative
4.22,6.7,0,0.5,3,4,9,High
7.07,3.27,0,2.92,5,6,3,Average
2.69,6.33,1,7.41,1,1,5,Average
3.28,7.49,0,4.88,1,8,7,Negative
1.71,7.34,0,2.92,9,2,9,High
4.78,8.58,1,6.54,9,8,3,Average
1.55,8.0,0,4.56,4,9,4,Negative
3.08,6.99,1,7.91,5,3,7,Average
1.06,7.95,0,6.47,7,6,8,Average
3.73,9.51,1,6.45,4,1,5,Average
6.03,8.93,1,5.21,3,4,6,Average
3.82,5.96,0,5.32,4,6,9,Average
5.99,8.6,0,3.07,4,8,6,Average
5.45,5.16,1,5.03,2,9,3,Negative
6.23,5.88,1,3.62,1,4,2,Average
0.0,7.05,0,7.92,6,6,6,Negative
1.44,6.84,0,6.12,8,3,1,Average
2.22,8.27,0,1.3,4,3,1,Average
3.61,7.15,1,9.43,7,6,7,Average
0.48,7.84,0,5.51,4,8,9,Negative
2.08,6.42,1,6.9,9,3,8,High
5.79,5.23,0,6.9,3,6,5,Average
3.9,8.13,1,7.51,7,2,2,Average
4.51,8.31,0,3.01,4,4,6,Average
2.94,7.43,0,6.81,9,2,2,Average
5.05,9.95,1,6.8,3,7,8,Average
2.64,8.62,0,2.01,4,3,9,High
2.89,8.67,1,9.18,9,2,9,High
3.46,7.24,1,10.08,5,2,5,Average
4.34,3.0,1,7.68,2,8,5,Negative
4.55,8.0,0,7.35,2,4,6,Average
7.66,7.39,1,5.89,6,8,3,Average
5.49,6.5,1,0.5,4,8,5,Average
4.97,4.92,1,4.5,5,7,5,Average
3.58,4.59,1,9.54,4,4,3,Negative
2.39,6.92,1,2.93,3,5,2,Negative
4.03,8.64,0,6.73,9,6,8,High
2.57,9.14,1,3.74,10,4,6,High
3.39,7.58,1,2.06,2,1,1,Average
1.57,6.98,1,2.65,5,5,2,Average
5.24,6.67,1,10.5,3,2,1,Average
6.0,8.26,0,7.04,3,1,3,Average
2.12,4.56,1,5.84,2,3,7,Average
0.75,7.49,0,2.27,8,9,8,Average
4.52,6.46,1,7.62,6,5,5,Average
2.84,6.12,0,2.81,7,3,4,Average
7.69,6.76,0,6.93,7,3,6,High
3.47,7.3,1,8.38,2,2,7,Average
3.82,8.68,1,5.46,3,5,1,Negative
3.42,7.51,1,3.48,4,3,2,Average
0.0,6.05,1,4.08,9,3,2,Average
3.89,8.3,0,2.94,9,6,9,High
5.06,5.59,1,8.97,3,4,10,Average
1.97,6.51,0,4.74,7,8,7,Average
1.6,9.68,1,2.62,8,3,9,High
3.26,6.07,0,4.3,3,6,1,Negative
4.76,7.37,0,10.29,2,9,2,Negative
1.02,4.75,1,0.5,9,8,10,High
5.7,8.02,0,0.84,9,7,4,High
2.56,7.86,1,3.61,10,4,4,High
2.21,7.16,0,0.5,10,10,6,Average
3.51,5.66,1,0.61,1,5,7,Average
6.87,9.72,0,5.69,7,7,4,Average
2.48,6.81,0,4.48,4,4,6,Average
3.69,6.49,0,2.63,5,1,8,High
1.59,6.64,1,4.61,3,9,4,Negative
3.5,9.45,0,5.96,6,5,5,Average
1.81,7.49,0,7.3,3,10,6,Negative
5.96,6.02,0,2.28,8,8,7,High
4.27,7.43,0,8.16,10,10,10,High
8.46,7.02,0,4.99,4,1,2,High
4.98,4.12,1,3.52,5,3,8,High
3.53,6.07,0,4.75,1,6,8,Average
4.7,6.97,1,6.27,8,1,8,High
7.4,6.56,1,6.1,10,2,7,High
3.7,8.99,0,7.4,7,4,8,High
4.33,4.65,0,5.11,6,9,9,Average
5.06,7.1,0,5.29,2,2,6,Average
2.92,8.78,1,3.87,9,1,7,High
6.86,7.49,1,4.2,10,1,9,High
0.65,5.46,0,3.47,8,2,6,High
3.48,5.99,1,2.39,7,3,6,High
4.6,7.85,0,4.1,1,5,8,Average
2.88,5.01,0,0.5,1,9,6,Negative
0.0,7.8,0,5.27,8,4,6,Average
8.86,7.03,0,3.43,3,5,4,High
4.08,6.18,0,5.3,10,6,5,High
5.81,7.38,0,8.3,5,9,9,Average
3.79,7.32,0,2.17,9,6,2,Average
4.58,4.7,0,5.02,8,1,5,High
2.27,7.31,0,5.06,9,1,10,High
4.73,6.59,1,6.25,9,3,6,High
3.78,6.12,0,9.49,5,7,9,Average
2.63,8.46,0,5.88,5,1,6,Average
4.74,6.95,0,4.8,7,3,6,High
1.64,7.37,0,5.27,5,7,1,Negative
4.93,5.99,1,7.85,9,9,10,High
3.5,7.42,0,3.31,2,7,5,Negative
5.6,7.33,1,3.65,1,1,9,High
6.93,8.54,0,7.67,9,5,1,Average
7.16,6.85,0,1.16,6,4,10,High
5.1,5.41,1,5.73,9,1,7,High
4.38,6.59,1,4.61,5,1,8,High
1.61,6.55,0,4.95,2,10,3,Negative
4.57,4.91,0,7.39,10,9,10,High
7.14,6.67,1,1.27,6,10,4,Average
3.57,5.34,0,6.55,7,4,4,Average
4.9,7.73,1,6.14,4,7,10,High
7.74,8.91,0,3.97,5,9,9,High
5.89,8.97,1,7.85,10,6,5,High
4.99,7.96,0,4.45,1,10,9,Negative
6.8,6.05,0,4.59,10,7,10,High
3.87,8.61,1,6.88,4,7,7,Average
5.09,4.4,0,4.22,2,1,2,Average
4.72,7.85,1,4.62,6,7,2,Average
4.82,7.16,0,7.71,7,6,7,Average
4.42,8.55,0,4.64,8,1,1,High
7.65,5.28,1,3.88,1,7,6,Average
6.38,6.74,0,3.39,7,2,4,High
3.99,5.54,0,6.26,6,5,4,Average
1.84,8.72,0,7.61,10,7,8,Average
5.7,6.81,0,3.29,6,9,6,Average
3.71,7.91,0,7.83,2,5,4,Negative
5.07,7.85,0,1.28,5,10,2,Negative
1.21,5.17,1,7.34,10,5,5,Average
4.51,10.0,1,8.93,1,6,5,Negative
3.2,7.15,1,3.4,2,6,9,Average
2.42,6.73,1,0.81,5,6,6,Average
3.55,5.22,0,2.45,3,2,8,High
2.89,5.23,0,4.03,7,8,3,Negative
2.8,5.46,1,2.78,10,8,10,High
3.94,8.14,1,6.17,10,6,3,Average
2.09,6.12,0,1.14,9,6,9,High
3.13,7.61,0,4.49,5,9,8,Average
7.11,8.07,0,6.33,10,8,3,Average
0.21,3.39,1,3.1,4,6,9,Average
4.28,6.61,1,6.24,3,6,8,Average
3.9,6.37,0,7.71,7,3,7,High
8.19,5.95,1,2.89,10,7,8,High
4.84,6.18,1,3.71,10,5,5,High
3.55,6.81,0,4.06,9,2,1,High
4.26,5.5,1,3.61,10,5,8,High
6.63,7.1,1,6.77,5,5,6,High
3.58,7.58,0,0.5,1,8,3,Negative
6.33,5.76,1,5.71,3,1,10,High
1.45,5.16,0,7.8,4,3,9,Average
1.64,6.54,0,5.17,9,7,10,High
7.71,7.66,1,2.92,8,8,2,High
1.0,4.38,1,8.37,10,9,9,Average
5.36,6.79,0,9.23,8,5,6,Average
3.76,7.63,0,5.1,7,3,2,Average
6.41,8.62,0,2.38,2,2,5,High
5.61,6.6,1,3.81,4,9,1,Negative
9.04,7.33,1,4.09,5,3,1,High
1.99,6.52,0,3.02,5,1,4,Average
5.36,5.79,0,7.62,3,5,4,Average
2.17,7.7,1,10.36,6,7,10,Average
0.71,8.11,1,4.84,4,6,10,Average
7.2,8.23,0,7.71,2,1,10,High
2.25,8.77,1,2.31,4,4,7,Average
4.79,5.4,0,5.94,4,2,6,Average
3.29,6.7,0,3.55,10,5,3,High
4.37,5.63,1,2.02,3,7,7,Average
8.07,8.73,0,4.83,1,6,1,Negative
4.71,7.83,1,3.91,8,5,1,Average
3.56,8.33,0,4.83,5,1,5,High
5.53,8.13,0,5.19,1,9,1,Negative
4.27,8.92,0,2.33,3,2,1,Average
4.64,6.8,0,9.85,10,10,7,Average
1.32,5.99,0,6.74,3,3,1,Negative
4.89,7.18,1,6.2,3,5,6,Average
3.82,7.04,1,6.14,1,1,6,Average
1.45,7.26,0,6.16,7,10,9,Average
4.68,7.93,1,6.68,9,1,7,High
1.92,7.23,0,1.01,1,6,5,Negative
2.17,7.0,1,4.37,5,8,2,Negative
5.88,6.16,0,3.77,5,8,9,Average
5.03,6.7,1,7.09,6,1,2,High
3.53,6.76,0,3.09,4,7,2,Negative
7.12,7.23,0,7.29,8,6,7,High
5.08,6.36,1,0.5,5,6,1,Average
1.21,8.53,1,9.67,8,4,7,Average
1.21,6.66,0,5.7,4,9,5,Negative
6.5,3.16,1,6.15,3,5,8,Average
5.03,5.76,1,3.59,5,7,3,Average
1.75,4.93,1,6.42,1,3,2,Negative
4.46,6.71,0,4.81,3,1,5,Average
1.89,7.73,1,9.24,10,4,4,Average
0.19,9.11,0,8.54,6,8,10,Negative
5.19,7.8,1,10.14,2,4,10,Average
2.97,6.59,1,12.0,10,10,3,Negative
5.48,5.54,0,3.12,7,5,2,Average
6.69,8.44,0,3.46,3,7,9,High
3.37,5.88,1,0.5,6,9,6,Average
2.74,6.79,1,4.36,6,6,9,High
3.75,7.59,0,3.22,1,7,8,Average
5.63,8.01,0,10.74,2,2,8,Average
4.96,3.98,0,7.04,3,7,5,Negative
5.47,6.35,1,3.39,1,3,7,High
2.16,3.86,1,8.65,1,6,9,Negative
4.07,6.25,0,8.39,6,5,2,Negative
7.27,6.47,1,1.5,6,1,5,High
5.29,8.15,1,6.6,9,1,4,High
5.31,7.66,0,6.29,9,9,5,Average
5.88,7.98,0,5.45,6,8,8,Average
3.48,8.26,0,6.59,10,8,1,Average
3.65,6.37,0,2.95,7,5,8,High
6.75,8.72,0,3.57,7,6,7,High
4.94,8.26,0,3.11,9,9,5,Average
5.99,6.58,0,7.41,5,3,3,Average
3.34,6.78,1,3.95,2,10,1,Negative
0.79,6.17,1,3.88,4,9,7,Negative
0.54,7.35,0,0.92,4,10,1,Negative
5.06,6.72,0,1.58,6,3,9,High
5.46,7.59,0,10.92,6,5,3,Average
0.0,8.05,1,5.62,6,5,6,Average
0.0,9.5,1,9.78,10,3,4,Average
4.01,7.75,0,1.32,1,4,5,Average
5.14,5.72,1,4.29,9,1,2,High
6.1,6.77,0,8.27,8,7,6,Average
4.68,8.71,1,3.2,9,5,3,High
4.09,5.15,0,6.67,2,2,3,Average
4.67,6.18,0,3.75,2,8,6,Negative
5.96,8.77,0,4.55,4,9,6,Average
4.46,7.87,0,7.23,2,6,5,Negative
4.34,9.19,0,8.24,4,9,3,Negative
3.44,7.96,0,5.39,7,8,3,Average
3.53,7.17,1,9.45,10,9,3,Average
4.01,6.85,1,8.3,6,5,9,High
3.26,5.21,1,7.64,6,6,3,Negative
6.2,8.03,1,4.55,6,6,3,Average
0.79,8.32,0,3.79,3,8,2,Negative
4.33,7.72,0,5.57,10,4,1,Average
3.38,7.56,1,3.67,9,5,3,High
4.75,9.6,0,5.01,5,3,3,Average
6.46,7.06,1,8.24,8,6,5,High
2.03,6.69,1,6.52,3,9,1,Negative
1.71,9.32,1,2.74,5,9,9,Average
0.33,5.49,0,3.09,3,3,9,Average
3.53,8.77,1,4.24,6,8,2,Negative
3.48,6.65,0,11.06,2,1,6,Average
4.46,8.2,0,4.44,6,1,5,High
3.82,7.97,1,7.06,9,1,4,High
7.36,8.71,1,4.35,5,1,6,High
2.93,6.72,1,7.24,9,10,6,Average
6.33,7.42,1,2.63,9,8,1,Average
4.38,6.01,0,5.27,8,4,10,High
2.56,8.47,0,0.5,4,6,9,Average
10.0,8.32,1,3.25,7,2,6,High
6.2,5.09,1,3.97,5,9,10,High
4.98,6.31,0,3.08,4,3,5,Average
4.48,5.7,0,4.38,9,3,1,Average
1.31,4.85,0,7.78,5,10,7,Negative
5.78,8.78,0,7.01,5,8,8,Average
6.07,9.42,1,3.04,4,6,6,Average
2.33,7.0,1,6.72,2,7,4,Negative
4.34,5.64,0,8.61,5,7,6,Average
3.94,6.67,1,7.2,2,10,4,Negative
3.35,9.33,0,6.92,5,4,8,Average
6.32,10.0,0,2.95,4,10,8,Average
5.09,6.37,0,3.87,4,9,7,Average
2.86,7.03,0,7.23,6,8,6,Average
0.0,7.39,0,3.57,4,4,1,Negative
0.48,8.47,1,3.06,6,3,7,High
2.41,8.19,0,3.93,3,7,9,Average
2.18,8.97,0,3.19,7,7,7,Average
4.79,6.86,1,4.41,3,4,7,High
0.83,6.86,1,6.94,10,5,10,High
5.76,7.52,0,5.76,9,9,2,Average
5.16,6.27,1,5.59,2,6,10,Average
4.66,8.56,1,7.23,6,7,6,Average
2.87,7.64,0,10.24,10,3,1,Average
3.16,7.74,1,4.83,3,3,9,High
4.97,7.59,0,1.08,10,8,7,High
4.7,7.83,0,4.77,7,2,9,High
2.55,7.47,1,5.02,6,1,3,High
0.0,7.99,0,3.43,7,2,9,High
2.79,6.36,1,3.2,5,2,2,Average
3.96,6.24,0,4.0,4,3,8,High
2.53,5.22,1,7.23,10,3,2,Average
2.71,6.3,0,6.12,6,2,3,Average
5.83,5.5,1,6.33,6,5,1,Average
4.52,10.0,1,8.56,6,10,5,Negative
2.64,7.59,1,8.78,5,5,7,Average
1.77,7.69,1,2.08,3,7,3,Negative
5.57,4.69,0,5.7,8,5,9,High
1.7,8.03,1,3.12,2,1,8,High
3.45,8.91,0,7.32,8,5,2,Average
4.92,7.57,1,4.45,8,9,1,Average
1.77,5.97,0,2.72,10,1,3,High
1.07,10.0,0,4.94,8,7,7,Average
2.48,8.5,1,0.5,2,6,5,Average
6.08,9.06,0,4.87,9,7,8,High
2.4,5.94,1,5.05,7,3,6,High
5.07,7.0,0,5.57,9,7,10,High
6.35,6.51,0,2.44,3,9,8,Average
4.21,7.38,1,5.41,1,7,7,Average
6.9,7.59,1,5.87,2,3,5,High
5.12,4.23,1,6.53,7,6,10,High
4.55,6.03,0,8.04,5,5,7,Average
7.33,7.97,0,4.02,7,5,9,High
2.51,6.34,1,6.92,4,2,6,Average
2.42,7.3,0,3.49,10,5,4,High
7.84,5.83,0,6.08,5,8,2,Average
1.07,7.31,1,2.68,4,3,6,Average
2.49,5.6,1,7.38,2,8,10,Negative
1.86,8.34,1,7.51,6,6,8,Average
6.65,7.15,1,4.51,3,1,8,High
4.67,8.01,0,8.25,1,6,10,Average
4.68,7.0,1,3.99,10,1,10,High
5.28,7.65,1,4.64,2,6,7,Average
4.71,7.18,1,7.43,6,2,8,High
1.86,5.72,1,3.33,10,9,3,Average
3.3,5.87,1,3.93,3,5,6,Average
0.0,8.66,1,7.29,9,4,2,Average
2.41,6.1,0,3.88,1,5,3,Negative
3.82,8.82,1,6.9,8,6,4,Average
5.49,7.68,0,6.77,5,10,1,Negative
3.87,7.05,0,5.5,3,4,6,Average
4.04,8.71,1,7.41,2,8,1,Negative
0.0,5.38,0,7.45,7,8,2,Negative
1.25,10.0,1,2.06,1,6,6,Negative
6.7,7.72,0,5.64,7,10,7,Average
1.98,6.99,0,3.75,3,9,5,Negative
5.06,7.14,1,9.19,6,5,1,Average
4.28,7.26,0,5.46,10,2,3,High
6.06,7.54,1,6.04,5,1,10,High
4.52,8.41,1,4.79,5,9,2,Negative
3.23,10.0,0,3.52,8,3,2,Average
5.58,5.65,0,5.96,4,7,1,Negative
4.14,8.9,0,5.56,1,6,8,Average
4.03,8.91,0,3.52,8,8,5,Average
1.98,7.19,0,4.51,7,10,10,Average
5.92,8.2,0,5.13,7,6,8,High
5.3,5.14,1,3.77,10,2,8,High
1.46,7.85,0,5.24,5,9,6,Negative
4.83,4.52,1,5.03,4,2,1,Average
5.16,7.21,0,5.0,6,3,7,High
2.42,7.46,0,3.03,9,3,8,High
0.0,7.08,1,2.97,9,10,5,Average
5.16,6.61,1,4.92,9,9,2,Average
5.22,5.2,1,4.78,5,7,7,Average
4.24,6.64,0,4.19,4,8,7,Average
4.91,6.53,0,2.47,3,6,7,Average
5.81,8.27,0,4.55,8,4,3,High
3.99,6.82,0,4.6,4,5,7,Average
2.08,6.88,1,4.92,10,7,7,High
4.81,7.51,0,3.57,9,9,8,High
2.53,4.84,0,2.41,3,4,6,Average
3.04,6.19,1,3.69,6,10,4,Negative
4.23,7.82,1,2.66,4,7,3,Average
4.48,8.1,1,6.35,8,3,8,High
5.47,6.89,0,8.46,8,7,2,Average
7.13,4.17,0,4.45,2,7,4,Negative
6.58,7.48,1,0.86,2,3,10,High
0.0,7.42,0,7.91,6,10,10,Negative
4.67,7.07,0,2.7,2,6,10,Average
2.49,6.68,0,6.34,5,4,8,Average
3.19,6.85,1,3.45,9,7,8,High
0.82,6.49,1,5.09,5,7,2,Negative
7.19,9.92,1,0.5,9,1,5,High
4.22,6.17,1,5.63,6,8,9,Average
7.35,6.89,0,1.06,10,8,6,High
6.18,5.45,0,8.87,3,7,6,Negative
7.42,7.72,1,0.5,3,3,1,High
2.57,6.01,0,4.9,8,1,10,High
4.18,7.1,1,5.42,9,7,6,High
3.35,5.56,1,4.61,2,2,1,Average
3.4,6.24,0,5.46,10,1,9,High
4.04,5.67,1,6.69,7,10,6,Average
5.89,7.77,1,0.73,9,7,1,High
4.31,6.46,0,6.85,3,3,1,Negative
2.12,4.22,1,0.64,7,1,8,High
6.8,5.86,1,4.0,2,1,9,High
1.24,4.97,1,4.95,6,10,10,Average
6.55,8.15,0,4.13,8,4,9,High
6.34,6.06,0,7.39,8,7,2,Average
5.94,7.44,0,7.63,8,8,1,Average
7.15,4.97,0,1.3,8,10,9,High
6.86,8.88,0,4.98,9,3,2,High
9.4,8.92,1,3.65,8,9,8,High
0.0,7.58,1,4.73,6,4,5,Average
3.67,6.53,0,8.5,1,1,4,Average
2.41,8.59,0,5.16,2,4,1,Negative
1.13,6.42,0,4.09,6,5,6,Average
4.22,6.34,0,3.24,5,6,1,Negative
3.52,6.51,0,4.91,8,5,3,Average
0.28,7.39,0,5.77,5,8,8,Negative
6.14,7.53,1,5.85,5,5,5,High
3.71,5.17,0,0.94,9,6,2,Average
3.09,5.04,0,7.08,2,3,2,Negative
4.72,6.98,0,6.79,8,3,6,High
3.44,6.92,0,2.77,10,2,9,High
6.84,6.32,1,7.96,2,7,2,Negative
6.37,6.13,1,4.07,1,2,6,High
4.67,7.71,1,4.86,5,3,4,High
3.94,6.41,0,2.85,2,10,10,Average
6.25,4.74,1,3.87,3,9,10,Average
4.12,6.9,0,7.55,8,5,8,High
4.77,8.87,1,5.23,1,2,3,Average
4.08,6.15,1,6.15,9,2,2,High
4.81,5.7,1,5.19,2,7,1,Negative
3.39,8.09,1,8.72,3,4,7,Average
4.51,7.57,1,2.96,5,1,3,High
5.87,4.26,0,6.81,1,5,9,Average
3.76,6.72,0,0.5,3,8,10,Average
4.78,4.76,0,7.13,9,10,5,Average
5.83,7.39,0,0.6,1,8,5,Average
4.99,6.88,1,3.03,4,9,2,Negative
0.0,7.91,1,6.54,7,5,5,Average
4.9,5.03,0,5.16,7,6,3,Average
2.79,5.75,1,8.33,9,5,4,Average
3.22,6.2,1,8.06,8,4,3,Average
5.76,6.94,0,2.83,1,7,10,Average
4.1,4.55,1,6.1,5,1,10,High
3.04,4.04,1,3.98,6,5,6,Average
2.13,6.94,0,5.26,2,5,4,Negative
1.92,7.49,1,3.66,4,9,4,Negative
5.86,8.6,0,7.96,5,2,1,Average
7.08,5.18,1,5.59,2,4,8,High
2.55,8.22,0,5.64,8,4,2,Average
4.55,7.29,1,0.72,1,3,1,Average
1.63,7.9,1,6.88,2,1,5,Average
7.8,6.85,1,8.74,5,7,8,High
5.73,4.26,0,8.29,6,8,3,Negative
3.87,7.45,1,3.44,6,7,9,High
7.66,6.88,0,3.7,8,4,5,High
4.09,5.21,1,6.35,10,9,1,Average
4.3,7.47,1,5.56,6,1,9,High
3.69,6.81,0,3.97,10,9,3,Average
2.28,7.69,1,5.32,7,3,8,High
1.82,7.05,1,4.74,1,6,5,Negative
6.54,7.53,1,6.01,2,5,10,High
5.75,7.14,1,6.27,6,8,1,Average
3.16,7.42,1,7.52,1,2,3,Average
5.86,6.81,0,5.54,4,6,1,Negative
7.65,6.23,1,2.8,5,5,1,Average
3.14,5.67,1,8.61,6,3,10,High
2.14,7.12,0,7.01,4,9,2,Negative
6.81,7.32,0,7.61,2,2,8,High
1.13,6.37,1,4.28,9,8,10,High
3.33,6.84,0,4.28,1,2,4,Average
4.54,6.86,1,4.09,6,5,4,Average
5.3,7.19,1,4.71,10,7,4,High
3.32,5.35,1,2.11,5,4,10,High
7.87,5.93,0,3.8,6,7,2,Average
2.82,8.29,1,3.77,10,2,9,High
2.01,7.89,1,5.85,5,9,1,Negative
4.64,6.54,0,6.03,10,1,1,High
2.94,5.68,0,4.27,3,5,10,Average
6.17,7.53,0,5.65,5,4,2,Average
5.77,7.03,0,9.47,1,6,3,Negative
5.09,5.55,1,3.29,1,4,8,Average
4.94,8.87,0,3.2,3,3,6,Average
3.61,9.9,1,6.47,5,6,2,Negative
5.56,7.5,1,4.02,2,3,6,High
1.98,3.83,0,5.95,10,7,10,Average
6.47,4.96,0,7.87,9,3,5,High
4.89,5.89,1,3.4,10,9,2,Average
4.26,3.43,1,6.17,1,1,4,Average
4.65,8.59,0,4.15,3,2,8,High
5.11,7.82,0,7.49,4,2,9,High
0.9,5.61,0,7.75,7,5,6,Average
4.66,6.65,0,3.94,1,10,8,Negative
5.26,6.78,0,2.49,4,8,2,Negative
6.3,6.59,1,7.69,3,5,1,Average
2.06,7.86,0,7.29,1,10,6,Negative
6.02,6.15,1,3.49,3,3,8,High
3.95,6.94,0,1.94,5,10,2,Negative
3.63,4.27,1,2.91,4,6,1,Negative
2.52,6.89,1,7.54,4,7,8,Average
1.52,5.42,0,7.8,6,5,5,Negative
5.31,6.19,1,8.81,4,2,2,Average
2.28,8.25,0,4.67,10,4,9,High
3.03,5.81,1,6.79,8,4,4,Average
4.88,8.55,1,6.7,1,2,8,Average
2.46,6.05,0,1.77,2,8,3,Negative
1.99,6.15,0,4.7,9,3,4,Average
4.37,7.29,1,4.19,10,5,8,High
4.26,7.13,1,6.98,6,8,7,Average
1.19,6.36,0,4.62,5,9,2,Negative
4.76,6.41,0,6.72,9,7,2,Average
2.81,5.63,1,3.13,10,5,3,High
4.93,9.22,1,5.02,3,4,2,Average
4.11,10.0,1,5.66,4,10,3,Negative
8.46,6.41,0,4.18,5,8,1,Average
3.63,5.75,0,5.7,6,5,3,Average
0.85,7.14,1,4.58,4,3,10,High
5.63,6.07,1,6.46,4,7,2,Negative
3.58,9.61,1,5.91,8,2,4,High
5.83,8.55,1,7.07,6,3,8,High
4.68,8.87,1,5.35,9,8,6,High
9.23,9.3,0,4.0,1,5,4,Average
4.74,6.7,0,8.52,10,6,9,High
5.68,7.82,1,8.45,6,6,8,High
2.53,6.27,0,4.08,6,8,2,Negative
6.91,8.55,0,4.03,9,5,10,High
